Rep,Model,CR,CS,Cost_0.5,Cost_0.6,Cost_0.7,Cost_0.8,Cost_0.9,Cost_0.95
7,NCMQR,0.0,0.0,6.799769,7.869179,9.673384,11.820427,15.477834,19.748026
7,RNCMQR,0.0,0.0,5.4361525,6.530289,8.003708,9.858497,13.0051565,16.337217
7,Rearrangement,0.0,0.0,5.5681186,6.764655,8.119928,10.251513,13.698321,17.32854
7,Isotonic,0.0,0.0,5.5741234,6.766191,8.124189,10.239818,13.702335,17.32854
8,SQR,0.776844070961718,2.3446364402770996,5.6527457,6.5680294,9.82762,10.675184,14.974842,18.76576
8,RSQR,0.6573295985060691,2.166308879852295,5.1968346,6.617055,9.31442,9.850419,13.909479,17.50617
8,MQR,0.13071895424836602,0.2996242642402649,5.169885,6.5206504,7.8658,10.174257,13.239486,16.762585
8,RMQR,0.15873015873015872,0.2294195294380188,5.306344,6.478532,7.7241464,10.029956,13.085223,16.42627
8,PMQR,0.08216619981325864,0.23297236859798431,6.2411222,7.5822535,9.394845,11.604586,15.54081,20.799238
8,RPMQR,0.003734827264239029,0.556603193283081,5.240839,6.4326363,7.8612103,9.770628,13.159964,16.675425
8,Mono,0.0,0.0,6.853167,7.7668166,9.016887,11.439054,16.335238,20.114256
8,RMono,0.0,0.0,6.0342126,6.701342,7.955647,10.003669,13.670789,17.362522
8,NCMQR,0.0,0.0,5.869323,6.8374147,8.37907,10.281961,13.577617,17.235706
8,RNCMQR,0.0,0.0,5.50672,6.673483,8.144866,10.108604,13.50746,16.939392
8,Rearrangement,0.0,0.0,5.1698775,6.515684,7.860989,10.175564,13.231621,16.773441
8,Isotonic,0.0,0.0,5.1698813,6.5179973,7.8631682,10.174886,13.235941,16.767654
9,SQR,0.5985060690943044,1.5566061735153198,5.8116055,6.6215177,8.34883,10.605782,15.035009,18.462294
9,RSQR,0.4715219421101774,1.381192922592163,5.3332033,6.3049054,7.931193,10.0640335,13.737278,18.376175
9,MQR,0.04295051353874883,0.17729271948337555,5.465302,6.593817,8.246665,10.12295,13.533409,17.574907
9,RMQR,0.0196078431372549,0.503546416759491,5.3190536,6.5156984,7.9381695,9.893782,13.351149,16.75846
9,PMQR,0.08216619981325864,0.212835893034935,5.326098,6.4860606,7.93838,9.856345,13.035194,16.732443
